# Japanese text version - non-fluent translation

# This .txt file is up-to-date with Gen 6 CTRPluginFramework 0.1.1. File parsing and language support is based off of Lukas' ACNL plugin.
# To edit the plugin's text to your own liking, change the text behind the "::" ONLY.
# "\n" means new line so do not remove that.
# Every Line that starts with "#" is just a note and does not need to be changed.

# If translating to other languages, ONLY replace texts after "::".

# Player Search System
EDITOR_PC_ORIGINS_EGG_MET_DATE :: タマゴ入手日
EDITOR_PC_STATS :: 能力値
EDITOR_PC_STATS_HP :: HP
EDITOR_PC_STATS_ATK :: こうげき
EDITOR_PC_STATS_DEF :: ぼうぎょ
EDITOR_PC_STATS_SPE :: すばやさ
EDITOR_PC_STATS_SPA :: とくこう
EDITOR_PC_STATS_SPD :: とくぼう
EDITOR_PC_STATS_IV :: 個体値
EDITOR_PC_STATS_EV :: 努力値
EDITOR_PC_STATS_CONTEST :: コンテスト
EDITOR_PC_MOVES :: わざ
EDITOR_PC_MOVES_CURRENT :: 現在のわざ
EDITOR_PC_PP_UPS :: ポイントアップ
EDITOR_PC_RELEARN_MOVES :: 思い出すわざ
EDITOR_PC_MISC :: その他
EDITOR_PC_MISC_SID :: 裏ID
EDITOR_PC_MISC_TID :: 表ID
EDITOR_PC_MISC_OT_NAME :: 親の名前
EDITOR_PC_MISC_LATEST_OT :: 最新の親（OT以外）
EDITOR_PC_ANYWHERE :: どこでもパソコン
EDITOR_PC_BOXES :: 31ボックス解放
EDITOR_BOX :: ボックス:
EDITOR_POSITION :: 位置:
EDITOR_INVALID_POSITION :: 無効な位置
EDITOR_CONTEST_COOL :: かっこよさ
EDITOR_CONTEST_BEAUTY :: うつくしさ
EDITOR_CONTEST_CUTE :: かわいさ
EDITOR_CONTEST_SMART :: かしこさ
EDITOR_CONTEST_TOUGH :: たくましさ
EDITOR_CONTEST_SHEEN :: つや
EDITOR_BOXES_UNLOCKED :: すべてのボックスを解放しました！
EDITOR_BOXES_ALREADY_UNLOCKED :: すべてのボックスはすでに解放されています！
EDITOR_CLONE_FAILED_DATA :: 元のポケモンを取得できませんでした
EDITOR_CLONE_FAILED_PASTE :: ポケモンを貼り付けできませんでした
EDITOR_CLONE_SUCCESS :: ポケモンを正常にクローンしました
EDITOR_CLONE_START_BOX :: コピー元のボックス:
EDITOR_CLONE_BOX_POSITION :: ボックス内の位置
EDITOR_CLONE_PASTE_BOX :: 貼り付け先のボックス:
EDITOR_CLONE_PASTE_BOX_POSITION :: ボックス内の貼り付け位置:
EDITOR_CLONE_FAILED_INIT :: クローンの初期化に失敗しました
SEARCH_SPECIES :: 種族:
SEARCH_ABILITY :: とくせい:
SEARCH_ITEM :: 道具:
SEARCH_MOVE :: わざ:

# Message
NOTE_TIME_UPDATED :: プレイ時間を更新しました。
NOTE_TIME_HOURS :: 時間
NOTE_TIME_MINUTES :: 分
NOTE_TIME_SECONDS :: 秒
NOTE_LANGUAGE_JAPANESE :: 日本語
NOTE_LANGUAGE_ENGLISH :: 英語
NOTE_LANGUAGE_FRENCH :: フランス語
NOTE_LANGUAGE_ITALIAN :: イタリア語
NOTE_LANGUAGE_GERMAN :: ドイツ語
NOTE_LANGUAGE_SPANISH :: スペイン語
NOTE_LANGUAGE_KOREAN :: 韓国語
NOTE_GAME_LANGUAGE :: 保存して再起動すると変更されます:
NOTE_EXPORT_FILE_NAME :: 名前:
NOTE_EXPORT_SUCCESS :: データをエクスポートしました！
NOTE_IMPORT_SUCCESS :: データをインポートしました！
NOTE_BACKUP_LIMIT :: 上限に達しました！古いバックアップを消去しますか？
NOTE_BACKUPS_ERASED :: すべてのバックアップを消去しました
NOTE_EDITOR_EXPORT :: エクスポート
NOTE_EDITOR_IMPORT :: インポート
NOTE_BACKUP_NONE :: 復元可能なバックアップがありません
NOTE_BACKUP_INVALID :: 無効な選択です。もう一度お試しください
NOTE_EDITOR_FAILED_ENCRYPT :: データの暗号化または書き込みに失敗しました！
NOTE_SHINIFY :: 種族を色違いにしますか？
NOTE_SPECIES_MALE :: オス
NOTE_SPECIES_FEMALE :: メス
NOTE_CANNOT_CHANGE_GENDER :: 性別を変更できません
NOTE_FORM_UPDATE :: フォルムを更新しました！
NOTE_VIRUS_CURED :: 治癒
NOTE_VIRUS_NON_CURED :: 未治癒
NOTE_VIRUS_STRAIN :: 株:
NOTE_VIRUS_DAYS :: 日数:
NOTE_MET_YEAR :: 年
NOTE_MET_MONTH :: 月
NOTE_MET_DAY :: 日

# Misc.
MISC :: その他
MISC_FAST_WALK_RUN :: 高速移動
MISC_WALK_THROUGH_WALLS :: 壁抜け
MISC_STAY_IN_ACTION :: アクションモードを維持
MISC_ACTION_MUSIC :: アクションBGM
MISC_TELEPORTATION :: テレポート
MISC_ACCESS_FLY_MAP :: 概要画面からそらをとぶマップを開く
MISC_UNLOCK_MAP :: そらをとぶマップ全解放
MISC_OTHER :: その他
MISC_RENAME_POKEMON :: ポケモンのニックネーム変更
MISC_LEARN_ANY :: すべてのわざマシン・ひでんマシンを覚える
MISC_INSTANT_EGG :: 即時タマゴ生成
MISC_HATCH_NOW :: タマゴを即時ふか
MISC_VIEW_STATS_IN_SUMMARY :: 概要に個体値と努力値を表示
MISC_NO_OUTLINES :: アウトラインなし
MISC_SUPER_FAST_DIALOGS :: 高速メッセージ表示

# Message
NOTE_MUSIC_FILE :: 音楽ファイルを選択:
NOTE_TELEPORT_KEY :: ホットキーを押しながら建物に入るとテレポート
NOTE_ALREADY_UNLOCKED_MAP :: そらをとぶマップはすでに全解放されています！
NOTE_NO :: いいえ
NOTE_YES :: はい

# Game Locations
GAME_LOC_AMBRETTE :: コウジンタウン
GAME_LOC_ANISTAR :: ヒャッコクシティ
GAME_LOC_CAMPHRIER :: セキタイタウン
GAME_LOC_COUMARINE :: ヒヨクシティ
GAME_LOC_COURIWAY :: エイセツシティ
GAME_LOC_CYLLAGE :: ショウヨウシティ
GAME_LOC_DAY_CARE :: ポケモン育て屋
GAME_LOC_DENDEMILLE :: フウジョタウン
GAME_LOC_FRIEND_SAFARI :: フレンドサファリ
GAME_LOC_GEOSENGE :: セキタイタウン
GAME_LOC_KILOUDE :: キナンシティ
GAME_LOC_LAVERRE :: クノエシティ
GAME_LOC_LUMIOSE :: ミアレシティ
GAME_LOC_FACTORY :: モンボ工場
GAME_LOC_LAB :: ポケモン研究所
GAME_LOC_LEAGUE :: ポケモンリーグ
GAME_LOC_CHAMBER :: きらめきの間
GAME_LOC_SANTALUNE :: ハクダンシティ
GAME_LOC_SANTALUNE_FOREST :: ハクダンの森
GAME_LOC_SPIRIT_DEN :: うみのいどう
GAME_LOC_SHALOUR :: シャラシティ
GAME_LOC_SNOWBELLE :: エイセツシティ
GAME_LOC_TEAM_FLARE :: フレア団アジト
GAME_LOC_TERMINUS_CAVE :: 終の洞窟
GAME_LOC_UNKNOWN_DUNGEON :: ななしのどうくつ
GAME_LOC_VANIVILLE :: アサメタウン
GAME_LOC_VIDEO_STUDIO :: ビデオスタジオ
GAME_LOC_ANCIENT_TOMB :: こだいづか
GAME_LOC_BATTLE_RESORT :: バトルリゾート
GAME_LOC_CAVE_OF_ORIGIN :: ゲンシの洞窟
GAME_LOC_DESERT_RUINS :: さばくいせき
GAME_LOC_DEWFORD_TOWN :: ムロタウン
GAME_LOC_EVER_GRANDE_CITY :: サイユウシティ
GAME_LOC_FABLED_CAVE :: いにしえのどうくつ
GAME_LOC_FALLARBOR_TOWN :: ハジツゲタウン
GAME_LOC_FORTREE_CITY :: ヒワマキシティ
GAME_LOC_GNARLED_DEN :: こもれびのもり
GAME_LOC_GRANITE_CAVE :: いわやま
GAME_LOC_ISLAND_CAVE :: こじまのどうくつ
GAME_LOC_LILYCOVE_CITY :: ミナモシティ
GAME_LOC_LITTLEROOT :: ミシロタウン
GAME_LOC_MAUVILLE :: キンセツシティ
GAME_LOC_METEOR_FALLS :: りゅうせいのたき
GAME_LOC_MOSSDEEP :: トクサネシティ
GAME_LOC_NAMELESS :: ななしのどうくつ
GAME_LOC_NEW_MAUVILLE :: しんキンセツ
GAME_LOC_OLDALE :: コトキタウン
GAME_LOC_PACIFIDLOG :: キナギタウン
GAME_LOC_PETALBURG :: トウカシティ
GAME_LOC_PETALBURG_WOODS :: トウカのもり
GAME_LOC_RUSTBORO :: カナズミシティ
GAME_LOC_RUSTURF :: カナシダトンネル
GAME_LOC_SCORCHED :: ひえびえ
GAME_LOC_SEA_MAUVILLE :: シーキンセツ
GAME_LOC_SEALED :: おおふういんのしつ
GAME_LOC_SECRET :: ひみつのはらっぱ
GAME_LOC_PILLAR :: そらのはしら
GAME_LOC_SLATEPORT :: カイナシティ
GAME_LOC_SOOTOPOLIS :: ルネシティ
GAME_LOC_VERDANTURF :: シダケタウン
GAME_LOC_VICTORY_ROAD :: チャンピオンロード

# Setting
PLUGIN_SETTING :: 設定
PLUGIN_SUCCESS :: 成功！
PLUGIN_APPLIED_CHANGES :: 変更を適用しました
PLUGIN_HOME_MENU :: HOMEメニューに戻ります
CONFIG_LANGUAGE :: 言語
CONFIG_LANGUAGE_RESET :: リセット
PLUGIN_KB_TYPE_SOMETHING :: 検索を始めるには入力してください
PLUGIN_KB_TYPE_MORE :: 入力が少なすぎて検索できません
PLUGIN_KB_TRY_AGAIN :: 入力に一致するものが見つかりませんでした。\n\n再起動してもう一度お試しください
PLUGIN_KB_TOO_MANY :: 該当する結果が多すぎます:
PLUGIN_KB_CONTINUE :: 探している内容を続けて入力してください。
